id,created_at,answer_id,question_id,test_id,user_id,value
1,2021-05-24 14:22:44.000685,44.0,32,16,2,
2,2021-05-24 14:22:44.000685,49.0,33,16,2,
3,2021-05-24 14:22:44.000685,55.0,34,16,2,
4,2021-05-24 14:22:44.000685,56.0,35,17,2,
5,2021-05-24 14:22:44.000685,62.0,36,17,2,
6,2021-05-24 14:22:44.000685,65.0,37,17,2,
7,2021-11-05 13:19:57.278914,588.0,147,19,43,
8,2021-11-05 13:19:57.278999,591.0,148,19,43,
9,2021-11-05 13:19:57.279038,596.0,149,19,43,
10,2021-11-05 13:19:57.279074,599.0,150,19,43,
11,2021-11-05 13:19:57.279109,602.0,151,19,43,
12,2021-11-05 13:19:57.279143,607.0,152,19,43,
13,2021-11-05 13:19:57.279210,612.0,153,19,43,
14,2021-11-05 13:21:27.704976,585.0,147,19,43,
15,2021-11-05 13:21:27.705158,591.0,148,19,43,
16,2021-11-05 13:21:27.705253,595.0,149,19,43,
17,2021-11-05 13:21:27.705338,598.0,150,19,43,
18,2021-11-05 13:21:27.705461,604.0,151,19,43,
19,2021-11-05 13:21:27.705536,,152,19,43,
20,2021-11-05 13:21:27.705619,612.0,153,19,43,
21,2021-11-05 13:21:53.354870,585.0,147,19,43,
22,2021-11-05 13:21:53.355124,589.0,148,19,43,
23,2021-11-05 13:21:53.355385,593.0,149,19,43,
24,2021-11-05 13:21:53.355505,597.0,150,19,43,
25,2021-11-05 13:21:53.355590,601.0,151,19,43,
26,2021-11-05 13:21:53.355675,605.0,152,19,43,
27,2021-11-05 13:21:53.355758,609.0,153,19,43,
28,2021-11-05 13:23:58.385277,585.0,147,19,43,
29,2021-11-05 13:23:58.385360,589.0,148,19,43,
30,2021-11-05 13:23:58.385398,593.0,149,19,43,
31,2021-11-05 13:23:58.385432,597.0,150,19,43,
32,2021-11-05 13:23:58.385465,601.0,151,19,43,
33,2021-11-05 13:23:58.385498,605.0,152,19,43,
34,2021-11-05 13:23:58.385531,609.0,153,19,43,
35,2021-11-05 13:24:42.880281,,147,19,43,
36,2021-11-05 13:24:42.880475,,148,19,43,
37,2021-11-05 13:24:42.880564,,149,19,43,
38,2021-11-05 13:24:42.880642,,150,19,43,
39,2021-11-05 13:24:42.880748,,151,19,43,
40,2021-11-05 13:24:42.880855,,152,19,43,
41,2021-11-05 13:24:42.880930,,153,19,43,
42,2021-11-05 17:07:03.819637,,1,1,63,
43,2021-11-05 17:07:03.819737,,2,1,63,
44,2021-11-05 17:07:03.819814,,3,1,63,
45,2021-11-05 17:07:03.819873,,4,1,63,
46,2021-11-05 17:07:03.819922,,5,1,63,
47,2021-11-05 17:07:03.819973,,6,1,63,
48,2021-11-05 17:07:03.820022,,7,1,63,
49,2021-11-05 17:07:03.820075,,8,1,63,
50,2021-11-05 17:07:03.820127,,9,1,63,
51,2021-11-05 17:07:03.820179,,10,1,63,
52,2021-11-05 17:07:49.553572,,1,1,63,
53,2021-11-05 17:07:49.553737,,2,1,63,
54,2021-11-05 17:07:49.553849,,3,1,63,
55,2021-11-05 17:07:49.553904,,4,1,63,
56,2021-11-05 17:07:49.553954,,5,1,63,
57,2021-11-05 17:07:49.554004,,6,1,63,
58,2021-11-05 17:07:49.554053,,7,1,63,
59,2021-11-05 17:07:49.554102,,8,1,63,
60,2021-11-05 17:07:49.554151,,9,1,63,
61,2021-11-05 17:07:49.554199,,10,1,63,
62,2021-11-05 17:11:35.129439,,88,13,63,
63,2021-11-05 17:11:35.129597,,89,13,63,
64,2021-11-05 17:11:35.129657,,90,13,63,
65,2021-11-05 17:11:35.129712,,91,13,63,
66,2021-11-05 17:11:35.129763,,92,13,63,
67,2021-11-05 17:11:35.129838,,93,13,63,
68,2021-11-05 17:11:35.129889,,94,13,63,
69,2021-11-05 17:11:35.129964,,95,13,63,
70,2021-11-05 17:11:35.130048,,96,13,63,
71,2021-11-05 17:11:35.130135,,97,13,63,
72,2021-11-05 17:11:50.563107,,88,13,63,
73,2021-11-05 17:11:50.563214,,89,13,63,
74,2021-11-05 17:11:50.563267,,90,13,63,
75,2021-11-05 17:11:50.563317,,91,13,63,
76,2021-11-05 17:11:50.563406,,92,13,63,
77,2021-11-05 17:11:50.563453,,93,13,63,
78,2021-11-05 17:11:50.563500,,94,13,63,
79,2021-11-05 17:11:50.563547,,95,13,63,
80,2021-11-05 17:11:50.563595,,96,13,63,
81,2021-11-05 17:11:50.563642,,97,13,63,
82,2021-11-05 17:28:22.868103,,1,1,63,
83,2021-11-05 17:28:22.868231,,2,1,63,
84,2021-11-05 17:28:22.868309,,3,1,63,
85,2021-11-05 17:28:22.868390,,4,1,63,
