id,created_at,problem_id,user_id,language_id
1,2021-04-07 06:06:20.000000,13,10,3
2,2021-03-31 07:10:06.000000,15,13,3
3,2021-04-04 14:55:26.000000,1,6,3
4,2021-03-29 21:24:51.000000,26,4,3
5,2021-03-30 11:29:12.000000,21,18,3
6,2021-04-19 08:07:46.000000,23,3,3
7,2021-04-23 12:29:21.000000,15,20,3
8,2021-03-29 03:46:24.000000,6,9,3
9,2021-04-06 12:14:59.000000,24,1,3
10,2021-04-15 11:07:15.000000,20,17,3
11,2021-04-01 16:50:29.000000,14,2,3
12,2021-04-21 16:53:55.000000,22,19,3
13,2021-04-27 12:13:50.000000,14,17,3
14,2021-03-31 14:10:57.000000,14,3,3
15,2021-04-13 12:34:42.000000,30,18,3
16,2021-04-03 09:05:08.000000,11,18,3
17,2021-04-20 11:30:30.000000,11,6,3
18,2021-04-14 10:46:22.000000,14,15,3
19,2021-04-04 18:18:35.000000,27,9,3
20,2021-04-15 00:48:19.000000,26,8,3
21,2021-04-08 08:45:08.000000,7,5,3
22,2021-04-02 22:07:41.000000,13,9,3
23,2021-04-18 01:44:20.000000,6,1,3
24,2021-03-27 17:55:11.000000,13,20,3
25,2021-04-15 23:50:05.000000,15,12,3
26,2021-04-26 05:32:52.000000,16,16,3
27,2021-04-17 22:43:38.000000,6,3,3
28,2021-03-28 02:18:47.000000,27,19,3
29,2021-04-22 02:48:37.000000,4,10,3
30,2021-04-06 17:18:03.000000,26,10,3
31,2021-06-07 13:16:29.799031,9,2,3
32,2021-06-07 13:17:10.856359,9,2,3
33,2021-06-07 13:17:37.100775,9,2,3
34,2021-06-07 13:18:18.870616,9,2,3
35,2021-06-07 13:18:40.213156,9,2,3
36,2021-06-07 13:19:15.454286,9,2,3
37,2021-06-07 13:41:40.324702,9,2,3
38,2021-06-07 13:51:05.289128,9,2,3
39,2021-06-07 14:37:13.230203,9,2,3
40,2021-06-07 14:37:37.205352,9,2,3
41,2021-06-07 14:42:35.611316,9,2,3
42,2021-06-07 16:18:57.336662,9,2,3
43,2021-06-08 12:52:39.512676,9,2,3
44,2021-06-08 12:52:56.100463,9,2,3
45,2021-06-08 12:56:21.556551,9,2,3
46,2021-06-08 12:57:10.596033,9,2,3
47,2021-06-08 12:58:07.439286,9,2,3
48,2021-06-08 12:58:39.801126,9,2,3
49,2021-06-08 12:59:27.119920,9,2,3
50,2021-06-08 13:04:28.790457,9,2,3
51,2021-06-08 13:05:35.516000,9,2,3
52,2021-06-08 13:06:21.822465,9,2,3
53,2021-06-08 13:06:36.145381,9,2,3
54,2021-06-10 13:05:11.663292,9,2,3
55,2021-06-22 14:30:05.313647,9,2,3
56,2021-06-22 14:35:51.216418,9,2,3
57,2021-06-22 14:36:47.012751,9,2,3
58,2021-06-22 14:43:08.461291,9,2,3
59,2021-06-22 14:46:11.997619,9,2,3
60,2021-06-22 14:48:07.888954,9,2,3
61,2021-06-22 14:52:33.646560,9,2,3
62,2021-06-22 14:55:20.254321,9,2,3
63,2021-06-22 14:57:30.743282,9,2,3
64,2021-06-22 15:11:49.780421,9,2,3
65,2021-06-22 15:14:46.972253,9,2,3
66,2021-06-22 15:17:39.160840,9,2,3
67,2021-06-22 15:22:26.205359,9,2,3
68,2021-06-22 15:22:45.665121,9,2,3
69,2021-06-22 15:27:55.714895,9,2,3
70,2021-06-22 15:30:02.396354,9,2,3
71,2021-06-22 15:47:43.401142,9,2,3
72,2021-06-22 18:57:11.144986,9,2,3
73,2021-06-22 18:57:22.922524,9,2,3
74,2021-06-22 18:57:30.427156,9,2,3
75,2021-06-22 18:57:47.315374,9,2,3
76,2021-06-22 18:58:07.296676,9,2,3
77,2021-06-22 18:58:25.484571,9,2,3
78,2021-06-22 18:59:16.209687,9,2,3
79,2021-06-22 19:00:16.847143,9,2,3
80,2021-06-22 19:00:27.490862,9,2,3
81,2021-06-22 19:00:37.132636,9,2,3
82,2021-06-23 15:36:16.819949,11,2,3
83,2021-06-23 15:36:20.406379,11,2,3
84,2021-06-23 15:47:40.328510,11,2,3
85,2021-06-23 15:48:06.674728,11,2,3
86,2021-06-23 15:48:37.127296,11,2,3
87,2021-06-23 15:49:02.399692,11,2,3
88,2021-06-23 15:51:57.019584,11,2,3
89,2021-06-23 15:52:14.563055,11,2,3
90,2021-06-23 15:52:20.580641,11,2,3
91,2021-06-23 15:54:14.915638,11,2,3
92,2021-06-23 20:22:22.325832,9,2,3
93,2021-06-23 20:25:23.797355,9,2,3
94,2021-06-23 20:26:17.156024,9,2,3
95,2021-06-23 20:27:50.340136,9,2,3
96,2021-06-23 20:34:53.913587,9,2,3
97,2021-06-23 20:37:58.832975,9,2,3
98,2021-06-23 20:39:58.991668,9,2,3
99,2021-06-23 20:40:42.137340,9,2,3
100,2021-06-23 20:41:36.642151,9,2,3
101,2021-06-23 20:42:22.599722,9,2,3
102,2021-06-23 20:46:37.697776,11,2,3
103,2021-06-23 20:46:41.283276,11,2,3
104,2021-06-23 20:47:11.112259,11,2,3
105,2021-06-23 20:47:24.481018,11,2,3
106,2021-06-23 20:48:02.450689,11,2,3
107,2021-06-23 21:30:31.622564,11,2,3
108,2021-06-23 21:30:34.612104,11,2,3
109,2021-06-23 21:33:51.433576,11,2,3
110,2021-06-23 21:33:52.326110,11,2,3
111,2021-06-23 21:33:52.940558,11,2,3
112,2021-06-23 21:35:24.000448,11,2,3
113,2021-06-23 21:35:24.927619,11,2,3
114,2021-06-23 21:35:52.408666,11,2,3
115,2021-06-23 21:36:35.156674,11,2,3
116,2021-06-23 21:36:54.766759,11,2,3
117,2021-06-23 21:36:55.279562,11,2,3
118,2021-06-23 21:36:55.630104,11,2,3
119,2021-06-23 21:38:52.464424,11,2,3
120,2021-06-23 21:39:33.569586,11,2,3
121,2021-06-23 21:41:54.587992,11,2,3
122,2021-06-23 21:42:18.438348,11,2,3
123,2021-06-23 21:44:11.523908,11,2,3
124,2021-06-23 21:45:21.216212,11,2,3
125,2021-06-23 21:45:27.020433,11,2,3
126,2021-06-23 21:45:42.997726,11,2,3
127,2021-06-23 21:45:47.840967,11,2,3
128,2021-06-23 21:45:55.659370,11,2,3
129,2021-06-23 21:46:06.354929,11,2,3
130,2021-06-23 21:46:15.431091,11,2,3
131,2021-06-23 21:46:23.700431,11,2,3
132,2021-06-23 21:47:58.651522,11,2,3
133,2021-06-23 21:48:39.226664,11,2,3
134,2021-06-23 21:49:12.002072,11,2,3
135,2021-06-23 21:49:29.537517,11,2,3
136,2021-06-23 21:50:33.940934,11,2,3
137,2021-06-23 21:56:52.290459,9,2,3
138,2021-06-24 07:36:58.224819,11,2,3
139,2021-06-24 18:45:49.921657,11,2,3
140,2021-06-24 18:46:14.450643,11,2,3
141,2021-06-24 18:49:31.445317,11,2,3
142,2021-06-24 18:50:13.957023,11,2,3
143,2021-06-24 20:03:34.450647,11,2,3
144,2021-06-24 20:03:39.078267,11,2,3
145,2021-06-24 20:04:13.713208,11,2,3
146,2021-06-24 20:04:20.456576,11,2,3
147,2021-06-24 20:04:37.669225,11,2,3
148,2021-06-24 20:04:43.504352,11,2,3
149,2021-06-24 20:05:00.971448,11,2,3
150,2021-06-24 20:30:34.194265,11,2,3
151,2021-06-24 20:30:38.588027,11,2,3
