id,created_at,value,type_id,user_id
1,2021-06-23 10:55:44.535735,100.0,1,2
2,2021-06-23 10:57:32.260228,100.0,1,2
3,2021-06-23 11:00:31.750230,100.0,1,2
4,2021-06-23 11:28:14.502607,1500.0,2,2
5,2021-06-23 14:28:50.171772,100.0,1,2
6,2021-06-23 14:33:25.068118,100.0,1,2
7,2021-08-04 09:12:44.752707,50.0,3,50
8,2021-08-04 11:03:24.436018,3.0,4,50
9,2021-08-13 14:15:30.525357,3.0,4,43
10,2021-08-18 10:10:06.999186,3.0,4,50
11,2021-09-01 16:37:07.943704,3.0,4,50
12,2021-09-01 16:43:46.949760,3.0,4,43
13,2021-09-01 20:36:50.649585,50.0,3,55
14,2021-09-01 21:53:56.936977,3.0,4,55
15,2021-09-03 08:23:32.029065,3.0,4,50
16,2021-09-06 04:33:39.765149,3.0,4,55
17,2021-09-07 09:30:37.574608,3.0,4,50
18,2021-09-07 16:13:34.628044,3.0,4,55
19,2021-09-09 07:29:05.289499,3.0,4,43
20,2021-09-09 08:26:15.975608,50.0,3,60
21,2021-09-09 13:52:54.558732,3.0,4,50
22,2021-09-12 12:39:10.266895,3.0,4,43
23,2021-09-13 10:27:51.335518,3.0,4,50
24,2021-09-14 16:25:11.767691,3.0,4,43
25,2021-09-15 09:48:11.242530,3.0,4,50
26,2021-09-15 16:47:27.610691,0.0,24,50
27,2021-09-15 11:47:27.610691,1500.0,2,43
28,2021-09-17 09:27:04.678955,3.0,4,43
29,2021-09-17 12:46:55.527521,3.0,4,50
30,2021-09-18 12:56:48.627316,3.0,4,43
31,2021-09-19 23:09:30.381642,3.0,4,43
32,2021-09-20 00:06:29.105356,3.0,4,43
33,2021-09-20 08:13:44.771974,3.0,4,50
34,2021-09-20 10:07:12.298844,50.0,3,63
35,2021-09-20 10:08:36.586281,3.0,4,63
36,2021-09-20 10:30:00.051998,20.0,25,63
37,2021-09-20 10:30:13.160060,30.0,25,63
38,2021-09-20 10:31:27.619106,30.0,8,63
39,2021-09-20 10:31:37.495337,20.0,25,63
40,2021-09-20 10:32:07.748644,30.0,25,63
41,2021-09-20 10:32:24.287101,100.0,9,63
42,2021-09-20 10:32:27.728660,20.0,25,63
43,2021-09-20 10:32:48.056087,30.0,25,63
44,2021-09-20 10:33:29.189461,20.0,25,63
45,2021-09-20 10:33:29.189461,10000.0,2,63
46,2021-09-20 10:53:32.133005,200.0,10,63
47,2021-09-21 08:05:34.720409,3.0,4,63
48,2021-09-21 08:14:43.117506,1000.0,11,63
49,2021-09-21 18:14:43.117506,10000.0,2,43
50,2021-09-22 09:31:44.188025,10.0,23,43
51,2021-09-22 09:33:44.035484,10.0,23,43
52,2021-09-22 09:34:57.074145,0.0,23,43
53,2021-09-22 09:36:21.756002,10.0,23,43
54,2021-09-22 09:39:54.804077,3.0,4,43
55,2021-09-22 14:26:42.477393,3.0,4,63
56,2021-09-22 14:31:07.969927,3.0,4,50
57,2021-09-23 08:46:26.847512,3.0,4,43
58,2021-09-23 08:58:46.081238,3.0,4,63
59,2021-09-23 11:58:08.357986,3.0,4,50
60,2021-09-24 08:35:54.937078,3.0,4,63
61,2021-09-25 16:37:09.854923,3.0,4,63
62,2021-09-27 07:50:49.009323,3.0,4,63
63,2021-09-27 07:50:49.015201,30.0,5,63
64,2021-09-28 09:08:41.830297,3.0,4,63
65,2021-09-29 07:46:52.817336,3.0,4,63
